cardno,name,expansion
DZ-BT15/EX13,人生の解答を追う 伊勢谷 要,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX14,てっぺんへの挑戦者 頂 挑夢,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX15,2周目を生きる委員長 雨道 未理科,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX16,美しきものへの探求者 井馬里 陽愛,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX17,剣の道を極めし者 古手打 七南,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX18,真実を見抜く戦略家 判目 才人,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX19,猪突猛進 暴走特急 牛島 突五郎,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX20,奇術の使い手 妖士乃 銀郎,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX21,ビッグマウスの丘サーファー 濱南 暁海,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX22,幸運を招く田舎娘 福良 むすび,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX23,メタリックハート 鉄野 ケルビン,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX24,二枚舌の執事 黒原 玲文,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX25,破天荒ロッカー 星 美哉,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX26,雪原のプリンス 吹雪 士郎（士郎人格）,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX27,タイガールーキー 宇都宮 虎丸,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX28,クロノストライカー フェイ・ルーン,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX29,俊足のダークサイド 瞬木 隼人,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX30,不屈のワイルドキーパー 井吹 宗正,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX31,静かなる守護神 西蔭 政也,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX32,青き一等星 一星 光,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX33,天空のタクト,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
